EBELN,EBELP,UDATE,FIELD,VALUE
252625,1,2019-06-18,P,383
252625,1,2019-07-02,P,380
252901,1,,Q,74
252901,1,,P,135
252927,1,2023-03-16,P,323
252927,1,2023-03-17,P,317
252927,1,2023-03-21,Q,17
253563,2,2020-08-06,Q,39
253563,2,2020-08-11,Q,35
254363,1,2019-07-08,Q,30
255063,1,2021-02-23,P,4
255113,1,2020-10-05,P,611
255113,2,2020-10-05,P,1020
255343,1,2021-06-01,P,896
256067,2,2019-12-16,Q,3
256067,2,2019-12-26,P,701
256137,1,2022-01-26,P,6
256398,3,2022-04-04,Q,15
256576,1,2019-08-28,Q,79
256576,1,2019-09-02,P,941
256704,2,2019-12-06,Q,83
256704,3,2019-12-09,P,6
257089,1,2022-06-02,Q,12
257133,1,2022-09-12,P,676
257133,1,2022-09-12,P,686
257133,2,2022-09-07,P,54
257133,2,2022-09-19,Q,8
258514,1,2019-01-14,Q,49
258984,2,2019-08-28,Q,4
259181,1,2020-01-22,P,2
259278,1,2020-03-26,Q,44
259453,1,2019-11-06,P,762
259837,1,2022-10-24,Q,27
260322,1,2020-08-10,Q,57
260322,1,2020-08-24,P,158
260734,1,2020-06-29,P,465
260734,1,2020-07-01,P,453
260850,3,2019-02-14,P,1
261343,1,,P,604
261343,1,,P,628
261744,1,,Q,40
261955,1,2023-01-23,P,891
261955,1,2023-01-25,P,907
261955,2,2023-01-23,P,745
261955,2,2023-01-27,Q,11
262718,1,2020-09-28,P,890
262718,1,2020-10-06,Q,69
262718,2,2020-09-24,Q,20
262718,2,2020-09-25,P,5
262718,2,2020-09-28,Q,27
262718,4,2020-09-23,P,418
262743,1,2021-03-29,P,2
262959,1,2022-05-03,P,2
262959,1,2022-05-09,P,2
263074,1,2019-10-15,Q,57
263400,1,,Q,57
263400,1,,P,311
263400,1,,P,318
263400,1,,P,323
263523,1,2021-11-22,P,1034
264039,1,2021-09-20,Q,91
264249,1,2021-10-26,P,47
264249,1,2021-11-05,P,49
264249,2,,P,600
264249,2,,Q,9
264249,3,2021-11-04,P,4
264956,1,,P,466
264999,1,2019-12-09,P,7
265304,2,2019-02-20,Q,12
265656,1,2021-08-16,P,163
265656,2,2021-08-02,P,7
265656,2,2021-08-04,Q,103
265886,1,,P,3
265886,1,,Q,28
265886,2,2019-02-11,Q,6
265886,3,2019-02-08,P,335
265886,3,2019-02-12,Q,66
265886,4,2019-02-04,P,2
265919,1,2023-02-03,P,793
265919,3,,P,686
265919,4,2023-02-17,P,366
266083,1,2022-03-31,P,714
266898,1,2020-04-07,P,342
267790,1,2022-01-20,P,594
267896,2,2021-08-31,Q,4
268508,1,,Q,51
268508,2,2021-09-15,P,351
268508,2,2021-09-20,P,348
269262,1,2023-02-20,P,999
269262,1,2023-02-21,Q,8
269262,2,2023-03-06,P,6
269423,2,2019-12-02,P,7
269423,5,2019-11-22,Q,54
269689,2,2020-03-09,P,993
269852,2,2019-08-13,P,450
269852,3,2019-08-12,Q,83
269852,6,,Q,41
269852,6,,P,463
269895,1,2019-07-15,P,981
270237,3,2019-03-15,P,847
270524,1,2019-12-05,Q,82
270524,2,2019-12-11,Q,76
270762,1,2021-12-27,P,715
270762,1,2021-12-29,P,711
271381,1,,P,389
271381,1,,Q,24
271381,3,2022-06-20,Q,67
271517,2,2019-07-01,P,716
271517,4,2019-07-04,Q,65
271726,3,2022-01-18,P,697
273091,1,2021-02-18,Q,74
274814,2,2020-12-14,P,3
274900,2,2021-10-14,Q,51
274900,2,2021-10-25,P,7
274900,3,2021-10-13,P,7
275276,1,2020-08-19,Q,56
275276,1,2020-08-25,Q,56
275816,2,2019-09-02,Q,13
275816,3,2019-09-12,P,523
276099,1,,P,730
276198,1,,P,506
276198,2,2020-04-23,P,1
276409,1,2019-06-03,Q,14
276409,2,2019-06-03,Q,33
276449,3,2021-09-02,P,5
276449,3,2021-09-03,Q,31
276449,4,2021-09-02,P,1
276449,4,,P,1
276451,1,2020-04-09,P,265
276590,3,2020-06-15,P,456
276732,2,2022-03-28,P,4
276841,1,2022-07-27,P,439
277096,1,2021-08-03,P,691
277496,1,2019-11-11,P,862
277496,1,2019-11-11,P,868
277799,1,2020-01-16,P,391
278196,1,,Q,39
278534,1,2021-08-31,P,223
279019,3,2019-10-30,P,5
279019,3,2019-11-11,Q,44
279726,1,2022-01-26,P,630
279726,1,2022-01-31,P,602
279726,2,2022-01-25,P,2
279771,1,2019-12-03,P,542
280609,1,2020-02-03,Q,87
280880,3,2020-03-02,P,5
280880,3,2020-03-06,P,5
281113,1,2022-01-12,P,6
281286,1,2020-06-01,Q,40
281467,1,2020-07-23,Q,20
281478,1,2021-11-01,P,662
281478,2,,Q,57
281478,2,,P,722
282070,1,2021-11-15,P,7
282523,1,2021-04-27,Q,87
282523,2,2021-04-20,P,647
283635,2,2023-02-16,Q,22
283635,2,,P,1
283648,1,2020-04-09,P,995
283648,3,2020-04-07,P,2
283648,4,2020-04-03,Q,20
283648,5,2020-04-06,P,1
283648,7,2020-04-10,Q,12
283970,2,2022-04-18,Q,36
285016,1,2020-09-28,Q,78
285101,1,2019-11-29,Q,7
285101,1,2019-12-06,P,440
285174,1,,P,7
285174,1,,P,7
285688,2,2022-03-14,P,7
286481,2,2021-06-25,P,2
286481,2,2021-06-28,P,2
286559,2,2022-01-24,P,1
286559,4,2022-01-17,P,5
286559,4,2022-01-17,P,5
286666,1,2022-02-28,Q,93
286666,3,2022-03-04,Q,16
287271,2,,P,633
289599,1,2021-09-13,P,2
289599,1,2021-09-15,P,2
289599,2,2021-09-07,Q,66
289599,3,,P,695
289599,4,,Q,100
289599,4,,P,266
289735,1,2021-07-05,Q,38
289830,2,2020-05-12,P,1
290250,1,2021-09-07,P,7
290250,1,2021-09-08,Q,6
290326,1,,Q,34
290326,1,,Q,38
290326,1,,P,665
290326,2,2020-12-14,Q,2
290326,4,2020-12-04,P,3
290326,5,2020-12-02,P,6
290420,1,2022-11-16,P,333
290438,1,,P,508
290459,2,2021-04-07,P,6
291159,1,2022-04-25,Q,11
291596,1,,P,621
292689,1,2020-08-31,Q,26
294420,1,2020-01-27,P,742
294420,1,2020-01-28,P,773
294420,2,,P,332
294632,1,2022-05-09,P,1
294632,2,2022-05-23,P,3
294898,4,2021-03-15,P,2
294967,3,2020-03-16,Q,74
294967,4,2020-03-23,P,431
295013,1,2022-05-16,P,83
295318,1,,P,6
295584,1,2022-11-21,Q,60
295584,2,2022-11-14,P,197
295657,2,2020-01-06,P,486
296631,1,2022-06-27,P,2
297227,1,,P,565
297227,1,,P,580
297227,2,2022-04-19,P,4
297493,2,2022-12-15,Q,74
297493,2,,P,135
297493,2,,P,135
297493,4,2022-12-21,Q,60
297860,2,2022-08-08,P,579
298199,3,2020-12-02,Q,34
298312,1,2021-05-27,Q,86
298312,1,2021-05-27,P,1
298688,1,2020-06-29,Q,35
300064,1,2020-03-02,P,384
300564,2,,P,153
300582,2,2020-04-27,Q,35
300665,1,2020-07-24,Q,20
300665,1,2020-07-27,Q,20
302305,1,2021-11-02,P,555
302305,1,,Q,36
302305,2,,P,78
302305,2,,P,81
302305,2,,P,79
302387,1,2021-03-18,P,1
302570,1,2020-04-02,P,828
302570,1,2020-04-03,P,856
302693,1,,P,710
302693,1,,P,730
302840,1,2019-07-23,Q,88
302840,3,2019-07-19,P,2
302840,3,2019-07-23,Q,2
303333,1,2021-06-23,Q,53
303333,2,2021-06-21,P,1030
303333,3,2021-06-22,Q,97
303333,3,2021-06-23,P,381
303333,3,2021-06-28,P,364
303725,1,2021-05-03,Q,31
303747,1,2019-02-06,Q,6
303747,2,2019-02-08,P,5
303747,2,2019-02-11,Q,53
303747,4,2019-02-04,P,2
304604,1,2020-05-13,P,681
305249,1,2022-03-07,P,2
305990,1,2021-06-15,P,622
305990,2,2021-06-15,P,567
306173,1,,Q,78
306173,1,,Q,83
306267,1,2019-05-13,Q,93
306352,2,2021-08-23,Q,26
306352,2,2021-08-25,P,1
306352,3,2021-08-30,Q,76
306352,4,,Q,65
306668,1,2022-02-21,P,1
306668,2,2022-02-21,P,324
307901,1,2019-07-03,Q,66
308166,1,2019-04-01,P,2
308196,1,2021-10-25,Q,64
308386,2,2021-06-02,Q,12
309153,2,2022-09-20,Q,77
309153,2,2022-09-22,P,2
309153,3,2022-09-27,Q,62
309369,2,2019-03-01,P,688
309806,1,,Q,61
309806,2,,P,166
309806,2,,Q,19
309949,1,2021-10-22,P,6
310275,1,,P,873
310594,1,2021-03-29,P,5
310594,2,2021-03-18,Q,72
310594,3,2021-03-19,P,933
311623,1,2022-02-03,P,6
311623,1,2022-02-09,P,6
311623,1,2022-02-10,P,6
311623,1,2022-02-14,Q,12
311623,1,2022-02-14,P,6
311623,2,2022-02-07,P,7
311623,3,2022-02-07,Q,33
311652,1,2020-08-13,P,838
311652,1,2020-08-14,Q,12
311727,2,,P,1
311865,1,2022-07-05,P,5
311865,1,2022-07-06,Q,73
311865,2,,Q,16
311865,3,2022-06-29,P,6
311865,3,,P,6
311983,4,2019-12-04,P,4
312037,4,2020-06-04,P,676
312705,1,2021-03-15,P,519
312705,1,2021-03-18,P,528
312930,1,2019-04-02,Q,58
312930,2,2019-04-01,P,7
312930,2,2019-04-08,P,7
312930,2,2019-04-09,Q,49
312930,2,2019-04-09,P,7
313306,3,2022-06-14,Q,30
313395,1,2019-03-26,P,306
313965,1,,Q,88
313965,3,2021-10-26,Q,37
313965,4,2021-11-04,P,7
314102,1,2019-12-11,P,84
314102,1,2019-12-17,P,88
314102,1,2019-12-23,P,85
314102,2,2019-12-16,P,3
314427,2,,Q,51
314427,2,,P,660
314427,2,,P,638
314427,2,,P,632
314634,2,2022-10-13,P,4
314719,1,2021-11-12,P,228
314719,1,2021-11-26,Q,74
314964,3,2020-06-08,Q,94
314964,3,2020-06-08,Q,90
315147,1,,Q,14
316524,1,2019-08-12,Q,79
316524,1,2019-08-15,P,447
316524,2,,Q,44
317516,1,2020-06-24,P,755
317516,3,2020-06-25,Q,66
317516,4,2020-06-24,P,5
317516,4,2020-06-25,P,5
317620,2,2020-11-26,Q,28
317753,2,,Q,60
318369,4,2022-03-16,P,130
318374,1,2019-08-28,Q,54
319083,1,2021-10-13,P,239
319083,1,2021-10-18,Q,3
319549,1,2021-07-09,Q,56
319549,3,2021-07-12,P,1
319908,1,2022-02-18,P,1
319940,3,2019-10-25,P,2
320647,1,,P,467
321061,2,2019-03-11,P,5
321061,2,2019-03-12,Q,55
321061,4,2019-03-11,P,7
321061,4,2019-03-22,Q,12
321254,2,2019-11-25,Q,55
321494,1,2022-04-26,Q,34
321494,1,2022-05-05,Q,38
321494,2,2022-04-26,P,5
321494,4,2022-04-27,P,988
321648,1,2020-03-09,Q,89
321648,1,,P,653
321760,1,2021-11-03,Q,29
321760,2,2021-10-29,P,7
321760,2,2021-11-01,P,7
324468,1,2020-10-30,P,202
325211,2,2020-08-06,P,1
326010,1,2020-02-18,P,714
326010,1,2020-02-24,P,711
326102,2,2019-06-24,P,479
326336,1,2022-09-12,P,3
326336,2,2022-09-13,P,1
326459,1,2019-03-18,Q,86
326459,1,2019-03-19,P,126
326459,1,2019-03-21,P,125
326948,1,2022-05-24,Q,93
327436,1,2021-09-22,P,132
327497,5,2020-02-13,P,376
327985,1,2021-05-04,P,7
327985,1,2021-05-10,P,7
328742,1,2022-09-22,Q,41
328888,2,2021-01-22,P,348
329073,2,,P,485
329073,2,,P,494
329809,2,2022-11-14,Q,36
329809,3,,P,1
329809,3,,Q,6
329809,4,2022-11-14,Q,32
331517,1,,Q,3
332000,3,2021-08-11,P,5
332198,1,2019-04-24,P,6
332844,1,2021-11-08,Q,2
332844,1,2021-11-09,P,1
333207,1,2020-06-22,Q,102
333207,2,2020-06-23,Q,31
333359,2,2022-02-28,P,7
333359,4,2022-03-07,Q,53
333864,1,2019-11-20,P,809
333864,2,,P,566
333864,2,,P,569
333905,1,2021-03-23,P,578
335178,1,2022-01-18,Q,92
335305,1,2022-07-25,P,299
335829,1,2020-09-01,Q,69
336203,1,2022-02-17,Q,58
336203,4,2022-02-23,P,6
336203,4,2022-02-25,Q,56
336203,4,2022-02-28,P,6
336203,6,2022-02-22,P,5
336322,1,2019-11-25,Q,59
336562,3,2019-02-28,Q,76
336562,3,2019-03-01,P,218
336562,3,2019-03-04,P,215
336562,3,2019-03-11,P,225
336562,3,2019-03-13,Q,78
337184,1,2022-12-06,P,692
337191,1,,P,1
337284,1,2022-02-17,P,87
337284,4,2022-02-21,P,4
337678,2,2019-06-27,Q,18
337678,2,2019-07-01,Q,18
337821,1,2022-01-10,Q,83
337821,1,2022-01-17,P,306
337875,1,,P,5
337875,1,,P,5
338821,1,2020-05-22,P,2
338821,1,2020-05-27,Q,75
338821,2,2020-05-21,P,614
339306,1,,P,457
339306,1,,P,439
339306,2,2020-05-14,P,592
339660,2,2020-07-27,P,2
339696,1,2019-01-24,P,157
339696,1,2019-01-29,Q,41
339696,2,2019-01-23,Q,11
339696,2,2019-01-30,P,5
339696,2,2019-02-05,P,5
339696,3,2019-01-21,Q,75
339696,4,,P,604
339765,1,2020-11-23,Q,67
339765,1,2020-11-23,P,520
340063,1,2022-12-28,P,6
340063,1,2023-01-02,P,6
340962,1,2023-01-26,Q,69
342394,3,2021-02-02,P,2
342394,3,2021-02-03,Q,79
342394,4,2021-01-29,Q,10
342394,4,2021-02-10,P,594
343487,1,2022-10-17,Q,17
343487,1,2022-10-24,Q,18
343683,1,2020-02-03,Q,38
343683,2,2020-02-07,P,906
343683,2,2020-02-13,P,879
343683,3,,P,614
343683,3,,Q,98
343747,1,,P,876
343781,1,2021-10-01,Q,39
343781,1,2021-10-08,P,468
343781,1,2021-10-08,P,478
343880,3,2021-04-19,P,128
344655,3,2021-07-26,Q,103
344713,1,2019-10-03,Q,3
344713,3,2019-10-07,Q,93
344985,1,2020-10-08,P,2
344985,1,2020-10-08,P,2
344985,2,2020-10-12,P,680
345025,1,2020-11-16,Q,52
345025,2,2020-11-23,P,850
345025,3,2020-11-13,P,1
345058,1,2019-11-12,Q,61
345058,2,,P,121
345058,2,,P,117
345264,1,2021-09-14,P,2
345584,2,2021-07-05,P,5
345745,1,2020-10-30,Q,5
345745,1,2020-11-10,P,774
346372,1,2022-03-07,P,551
346471,1,2020-12-09,P,613
346523,5,2022-04-27,Q,71
346899,1,2023-01-16,P,4
347459,1,2022-01-31,P,81
347459,2,2022-02-02,P,2
347658,1,2019-01-21,P,314
347658,1,2019-01-28,Q,2
347708,2,2020-07-06,P,206
347708,3,2020-07-03,P,7
347708,3,2020-07-14,Q,23
348166,1,2020-12-15,P,2
349441,2,2021-08-16,Q,19
350103,1,2019-06-03,P,1
350491,1,2021-09-22,P,6
350491,1,2021-09-27,Q,58
350491,1,2021-09-27,Q,55
352065,1,2020-11-18,P,738
352065,1,2020-11-23,P,771
352065,1,2020-11-25,P,753
352229,2,2020-07-27,P,678
352310,1,,P,395
352310,2,2022-10-11,P,6
352481,1,2021-10-21,P,160
352718,3,2022-11-18,Q,19
352886,1,2020-02-17,Q,81
352886,1,2020-02-24,P,375
353503,1,2021-03-08,P,578
353503,3,2021-03-04,P,911
353503,4,,Q,21
354018,1,2021-10-11,P,5
354418,1,2021-12-16,P,355
354475,1,2021-07-29,P,840
354475,2,2021-08-02,P,503
354475,3,2021-08-04,P,1
355247,1,2020-05-20,P,362
355247,2,2020-05-15,P,6
355578,1,2023-02-27,P,337
355578,2,2023-02-21,P,751
355578,2,2023-02-23,P,719
355578,2,2023-03-01,Q,67
355578,3,2023-02-27,P,120
356285,1,2019-08-08,Q,23
357203,1,2022-08-08,P,2
357260,1,2019-04-04,P,1
357328,1,2020-06-15,Q,100
357328,3,2020-06-12,P,2
357328,3,2020-06-16,Q,5
357698,2,2022-06-10,P,4
357698,2,2022-06-15,P,4
358038,1,2023-02-13,Q,48
358086,2,2022-04-06,P,901
358310,2,2022-02-16,P,5
359087,2,2019-07-29,P,513
359151,1,2020-09-14,P,6
359151,2,,Q,52
359151,2,,Q,56
359820,2,2022-06-17,P,13
359877,1,2021-05-26,P,2
359877,1,2021-06-07,P,2
360218,1,2019-03-18,Q,81
360218,2,,P,601
360218,3,2019-03-25,P,332
360218,4,2019-03-11,P,5
361911,2,2021-02-15,P,1
361992,1,2019-08-20,P,829
362616,1,2022-12-05,P,5
362616,1,2022-12-05,P,5
362844,2,2020-05-11,P,1
362844,2,2020-05-14,P,1
363671,1,2019-01-28,Q,40
363671,1,2019-01-28,P,835
363939,2,2022-11-24,P,978
363959,1,2019-12-30,Q,16
363959,1,2020-01-03,P,5
363959,1,2020-01-10,Q,18
363959,2,2020-01-01,P,374
363959,2,2020-01-03,P,387
364504,3,2021-06-01,P,136
364717,2,,Q,98
364969,1,2020-01-13,Q,23
365032,1,2019-05-30,P,516
365102,1,2019-01-31,P,660
365102,2,2019-01-28,Q,72
365102,2,2019-01-30,P,5
365520,1,2022-11-17,Q,71
366010,1,2020-01-22,Q,1
366487,1,2022-07-15,Q,67
366487,1,2022-07-20,Q,68
366487,2,2022-07-18,Q,65
367745,2,2022-03-16,Q,42
367815,1,2019-04-24,Q,14
367815,2,,P,2
368577,1,2021-02-15,Q,6
368599,1,2020-05-11,P,2
368837,1,,Q,30
369711,2,2022-02-02,Q,93
369896,1,,P,911
369896,2,2019-12-23,Q,10
369896,2,2019-12-24,P,1
369896,3,2019-12-24,Q,8
369896,3,2020-01-06,Q,6
370177,1,2021-07-27,Q,47
370177,1,2021-07-29,P,507
370177,3,2021-08-03,P,1
370706,1,2019-10-29,P,3
370706,2,2019-10-21,P,2
370706,2,2019-10-21,P,2
370706,2,2019-10-28,P,2
371470,3,2020-02-11,P,631
371470,4,2020-02-10,P,86
371931,1,2023-01-16,Q,32
372087,3,2022-01-03,P,557
372087,3,2022-01-07,P,548
372087,3,2022-01-07,P,568
372152,1,2019-02-25,Q,21
372152,2,2019-02-13,P,308
372398,1,,P,12
372398,4,2020-11-16,P,54
372475,1,2020-12-15,P,876
372475,2,2020-11-30,P,1
372475,2,2020-12-01,Q,18
373423,1,,P,572
373423,2,2020-11-03,P,1
373851,1,,P,126
373851,1,,P,130
374355,1,2019-02-19,P,854
374778,1,,P,968
375563,2,2020-12-04,Q,47
376138,1,2019-12-03,Q,43
376652,1,2019-08-12,Q,85
376671,2,2021-07-28,P,512
376671,2,2021-08-05,Q,68
377186,1,2019-01-14,Q,13
377186,2,2019-01-15,Q,42
377186,2,2019-01-17,P,7
377268,1,,P,390
377268,1,,P,384
377268,1,,P,377
377788,1,,Q,44
377788,3,,Q,9
377956,1,2022-02-16,P,5
378766,1,2019-09-24,P,616
378766,3,2019-10-04,P,938
378766,4,2019-10-01,Q,56
378766,4,2019-10-02,P,3
378975,2,2023-01-03,P,468
379111,1,2021-01-01,Q,12
379111,1,2021-01-06,P,577
379111,2,2021-01-12,Q,12
379536,1,2019-01-21,P,582
379657,2,2020-07-13,Q,59
379876,1,2021-07-09,Q,38
379964,1,2022-05-02,P,5
380119,1,2021-08-24,Q,2
380119,1,2021-09-06,P,2
380225,1,,Q,27
380409,1,2021-12-22,P,1
380409,2,2021-12-22,P,567
380612,1,,P,5
380612,3,2019-04-23,P,5
380612,4,,P,1013
380612,4,,P,973
380992,1,2022-11-17,Q,22
381211,1,2022-09-20,P,372
381211,2,2022-09-16,P,428
381211,3,2022-09-21,Q,77
381268,1,2022-12-19,P,3
382106,1,2020-03-25,Q,58
382434,1,2019-08-12,P,374
382667,1,2023-01-23,P,3
382667,2,,P,368
382675,2,2022-09-16,P,4
382982,2,2019-06-20,Q,20
383067,1,2020-09-29,Q,21
383067,1,2020-09-29,P,5
383226,3,2021-11-29,Q,85
383226,3,2021-11-29,P,2
383226,3,2021-12-02,P,2
383226,3,2021-12-02,P,2
383226,3,2021-12-02,P,2
383226,4,2021-12-06,Q,57
383401,1,2022-01-31,Q,56
383508,1,2019-03-15,P,186
383827,2,2022-12-05,P,163
383827,4,2022-12-07,Q,23
383968,2,2021-07-28,Q,44
383968,2,2021-07-29,P,884
383968,2,2021-07-30,Q,43
383968,5,2021-08-02,Q,42
383968,5,2021-08-02,P,4
384119,2,2020-03-23,P,51
384119,3,2020-03-27,P,163
384584,1,2022-07-08,Q,67
384584,2,2022-07-15,Q,99
385962,1,2022-08-02,P,5
385962,1,2022-08-08,Q,90
386062,1,2023-01-20,P,7
386062,1,2023-01-27,P,7
386716,2,2023-03-03,P,6
386958,1,,Q,51
387437,1,2021-06-16,Q,81
387437,1,2021-06-17,P,74
387437,2,,Q,35
387537,1,2023-02-03,P,240
387537,1,2023-02-13,Q,24
387963,1,2023-02-03,P,5
387963,3,,Q,25
388715,1,2019-08-01,Q,71
388746,1,2021-07-30,P,1
388746,1,2021-08-02,Q,33
388746,2,2021-08-02,Q,45
389205,1,2022-12-28,Q,4
389205,1,2023-01-02,P,666
389341,3,2019-08-30,Q,59
389815,3,2023-02-27,Q,47
389815,4,2023-03-06,P,1026
390156,2,2021-01-18,Q,47
390465,1,,P,991
390465,2,2019-07-29,P,1
390465,2,2019-07-31,P,1
391242,1,2023-01-19,Q,66
391352,3,2022-08-22,Q,41
391352,4,2022-09-02,P,327
392008,1,,P,509
392008,3,2021-08-30,P,2
392008,3,2021-08-31,Q,86
392563,1,,Q,14
392827,1,2020-05-18,P,6
392955,2,2020-03-06,Q,87
392955,3,2020-03-03,Q,61
392955,3,,P,79
392984,2,2022-11-09,P,278
392984,3,2022-11-14,Q,15
392984,3,2022-11-17,P,7
392984,4,,P,589
392984,4,,Q,34
393612,1,2022-08-08,P,872
394148,1,2019-06-04,P,498
395226,1,2021-03-10,Q,37
395954,1,2019-05-20,P,254
395954,2,,Q,82
396341,1,2019-07-31,Q,54
396474,1,2021-02-01,Q,44
396738,1,2021-01-20,Q,40
396738,2,2021-01-20,Q,47
396772,3,,P,708
396772,3,,Q,67
396772,3,,P,709
396772,3,,P,722
397744,2,2020-03-09,P,728
398185,1,2021-10-14,P,5
398212,1,2019-02-18,P,479
398212,1,2019-02-20,Q,49
398212,3,2019-02-18,Q,60
399228,4,2021-08-11,Q,86
399228,4,2021-08-16,Q,88
399697,1,2019-04-16,P,967
399855,2,2019-07-02,P,7
399923,1,2021-04-02,P,3
399923,2,2021-04-07,P,1
400190,1,2022-01-19,Q,87
400190,1,2022-01-24,P,1
400190,2,2022-01-31,Q,19
400581,1,,Q,72
400581,1,,Q,81
400581,2,2022-09-26,P,7
400716,2,2021-07-07,Q,61
401724,2,2021-03-31,P,4
401851,1,2019-07-19,P,497
402043,1,2022-08-15,P,433
402043,2,2022-08-15,P,501
402043,3,2022-08-15,Q,29
402582,1,2022-05-25,Q,54
402582,1,2022-05-30,P,3
402816,1,2020-06-18,Q,83
402816,1,2020-06-18,P,5
402836,2,2021-10-27,P,2
403313,1,2020-06-03,Q,49
403313,1,2020-06-03,P,687
403313,1,2020-06-03,P,660
404099,1,,P,717
404099,2,2021-09-22,Q,47
404099,3,2021-09-27,Q,6
404099,3,2021-09-27,P,5
404338,1,2022-06-14,P,6
404338,3,2022-06-21,P,592
404648,2,2020-02-12,Q,31
404680,1,,P,160
404680,2,2019-05-10,P,6
404937,2,2021-12-20,P,716
404937,3,,P,541
405337,1,2021-05-21,Q,24
405337,1,2021-05-24,P,647
405680,1,2021-01-14,P,708
407224,1,2020-01-28,P,716
407224,2,,Q,31
407734,2,2022-05-26,P,6
408090,1,,Q,43
408090,1,,P,7
408389,1,,Q,73
408547,1,2022-06-10,P,6
409261,1,2019-05-16,P,430
409301,1,,Q,18
409301,1,,Q,14
409301,1,,Q,16
409301,1,,P,560
409613,1,2019-08-12,Q,98
409613,2,2019-08-12,P,5
409613,2,2019-08-12,P,5
410228,1,2019-04-22,P,6
410228,1,2019-04-29,P,6
410285,1,2021-08-25,P,327
410345,1,2023-03-13,P,210
410514,2,2023-01-02,Q,17
412263,1,2022-09-19,P,697
412263,2,2022-09-19,P,1
412440,3,2019-05-21,P,3
412651,1,2022-06-03,P,327
412800,1,2019-07-05,Q,86
412800,1,2019-07-05,Q,88
412872,1,2021-04-08,P,109
412872,2,2021-04-08,Q,48
413280,1,2021-05-07,P,641
413280,1,2021-05-11,Q,72
413280,2,2021-05-03,P,5
413280,2,2021-05-07,P,5
413357,1,,P,527
414786,3,2021-05-24,Q,55
414786,4,2021-05-20,P,7
415469,2,2019-12-05,P,447
415813,1,2019-05-16,Q,10
415813,2,2019-05-08,Q,57
415971,2,2020-04-09,P,1
416156,2,2021-08-12,Q,66
416156,4,2021-08-18,Q,42
416457,1,2019-01-22,Q,78
417206,1,2019-11-01,Q,39
417900,1,2019-07-22,Q,54
418064,5,2019-03-12,P,1
418064,7,2019-03-08,Q,93
418523,1,2019-11-13,Q,61
418877,2,2019-06-25,Q,38
418974,1,2019-08-16,P,764
419118,1,2021-04-05,P,1
419118,1,2021-04-06,P,1
419507,2,2020-09-24,P,754
419512,1,2021-01-29,P,760
419747,1,,P,740
419890,3,,P,741
419890,3,,Q,37
419890,4,2022-06-22,Q,43
419890,4,2022-06-22,P,1
420416,2,2020-11-03,Q,14
420416,2,2020-11-03,P,5
420509,3,2020-05-22,P,5
420509,4,2020-05-26,P,2
420551,1,2022-12-05,P,1
420608,1,,P,5
420608,4,2020-02-24,Q,75
420608,5,,P,469
421492,1,2021-07-26,Q,64
421492,1,2021-07-26,P,5
421492,1,2021-08-02,Q,66
421492,2,2021-07-28,P,439
421687,1,2023-01-23,Q,26
421687,2,2023-01-23,P,5
422144,1,,Q,8
422524,1,2021-07-08,P,703
422524,1,2021-07-14,Q,60
422532,1,2020-10-12,P,562
423053,1,2020-04-27,Q,87
423171,1,2020-09-25,P,5
423700,2,2022-04-04,P,159
423713,1,2022-11-22,P,360
423713,1,2022-11-28,P,377
423762,2,2019-10-25,Q,81
423763,2,,P,440
423763,4,2021-10-11,Q,78
424609,1,,P,913
424609,1,,Q,94
424646,2,2021-09-24,Q,93
424646,2,2021-09-27,P,682
424646,2,2021-10-05,P,672
425085,1,,Q,59
425085,1,,P,6
425110,1,2022-02-02,P,7
425110,3,,P,636
425325,1,2020-07-28,Q,54
426364,1,2020-03-11,P,163
426572,1,2019-11-04,P,3
426925,1,2021-06-03,Q,78
427377,1,,Q,14
427698,1,2021-12-07,P,5
427698,1,2021-12-13,P,5
428109,1,2022-07-29,P,463
428109,1,2022-08-02,Q,5
428362,4,2021-01-06,Q,19
428586,1,2020-09-14,Q,91
429064,1,,Q,83
429064,2,2023-01-23,Q,36
429064,3,2023-01-23,P,4
429175,1,2021-11-19,P,5
429175,1,2021-11-22,Q,64
429195,1,2020-08-17,P,6
429195,2,2020-08-17,Q,87
429195,4,2020-08-20,P,7
429593,1,2023-01-27,P,1
430348,1,2019-06-17,P,1
430661,1,2019-11-25,P,885
431355,1,2021-04-21,P,2
431355,1,2021-04-26,P,2
431355,2,2021-04-15,Q,68
431355,2,2021-04-19,Q,65
431774,1,2019-10-23,P,338
431994,3,2022-08-01,P,2
432123,1,2021-03-10,Q,81
432123,1,,Q,84
432584,1,2021-05-17,P,2
432584,2,2021-05-14,P,461
432796,1,2021-11-15,P,2
432915,1,2022-03-30,Q,76
432959,2,2023-01-06,P,5
434365,1,,Q,13
434365,1,,P,534
434919,1,2023-02-10,Q,60
434919,2,2023-02-06,Q,68
434928,1,2019-02-27,P,706
434928,1,2019-03-04,Q,2
434928,1,2019-03-04,P,743
435122,2,2022-09-15,P,2
436066,2,2019-08-20,P,5
436066,3,,P,227
436066,3,,P,225
436875,1,2020-11-16,Q,31
437038,1,2019-05-22,P,940
437404,2,2022-09-09,Q,8
437740,1,2021-10-18,P,711
437770,1,2019-09-09,P,269
437770,1,2019-09-11,Q,74
438194,1,2022-01-17,Q,92
439066,1,2022-08-29,P,518
