WERKS,BELNR,BLDAT,BUDAT,BPDAT,EREKZ,LIFNR,BLOCK,RLOCK
BR10,7648393,2020-06-15,2020-07-06,2020-06-18,x,48114031,,
BR10,7236156,2020-06-15,2020-07-06,2020-06-24,x,78411205,,
BR10,5600406,2020-06-15,2020-07-06,2020-06-24,x,35101221,2020-06-16,2020-06-17
IN10,8948553,2020-06-15,2020-07-06,2020-06-23,x,30002348,,
IN10,9493706,2020-06-15,2020-07-06,2020-06-22,x,74997556,,
IN10,8853395,2020-06-15,2020-07-06,2020-06-18,x,78411205,,
JP11,5279628,2020-06-15,2020-07-06,2020-06-25,x,30002348,,
CN10,6750396,2020-06-15,2020-07-06,2020-07-02,x,74997556,,
DE10,5193629,2020-06-15,2020-07-06,2020-06-30,x,50759436,,
DE10,5938449,2020-06-15,2020-07-06,2020-07-02,x,35101221,,
DE10,8964636,2020-06-15,2020-07-06,2020-07-07,x,55553693,,
CN10,9307111,2020-06-15,2020-07-06,2020-06-29,x,73419740,,
CN10,7338513,2020-06-15,2020-07-06,2020-06-29,x,70920548,2020-06-23,2020-06-25
CN10,5551568,2020-06-15,2020-07-06,2020-06-29,x,48114031,,
CN10,5666262,2020-06-15,2020-07-06,2020-06-25,x,50759436,,
CN10,5238986,2020-06-15,2020-07-06,2020-07-16,x,35101221,,
CN10,8274013,2020-06-15,2020-07-06,2020-07-06,x,34702906,2020-06-17,2020-06-26
IN10,8648729,2020-06-05,2020-06-26,2020-06-19,x,41420829,,
IN10,8626071,2020-06-22,2020-07-13,2020-07-01,x,50759436,,
DE10,6873441,2020-06-22,2020-07-13,2020-07-06,x,30003467,,
IN10,8282059,2020-06-08,2020-06-29,2020-06-30,x,35101221,,
BR10,7850281,2020-06-22,2020-07-13,2020-07-07,x,34702906,,
BR10,9316604,2020-06-22,2020-07-13,2020-06-29,x,48114031,,
IN10,7488996,2020-06-22,2020-07-13,2020-06-24,x,48114031,,
BR10,8214621,2020-06-22,2020-07-13,2020-07-08,x,35101221,,
BR10,7223330,2020-06-22,2020-07-13,2020-07-07,x,47017350,,
JP11,8865915,2020-06-22,2020-07-13,2020-06-30,x,30002348,2020-06-26,2020-06-29
BR10,9144670,2020-06-22,2020-07-13,2020-07-03,x,30002348,,
DE10,6909732,2020-06-22,2020-07-13,2020-06-25,x,49330617,,
DE10,7139631,2020-06-22,2020-07-13,2020-07-02,x,48114031,,
DE10,8921893,2020-06-22,2020-07-13,2020-07-01,x,35101221,,
DE10,6260045,2020-06-22,2020-07-13,2020-06-24,x,78411205,,
IN10,9742920,2020-06-22,2020-07-13,2020-07-10,x,30002348,2020-06-30,2020-07-01
CN10,8738902,2020-06-22,2020-07-13,2020-07-09,x,50759436,,
IN10,6779849,2020-06-22,2020-07-13,2020-07-07,x,32952574,,
CN10,7251251,2020-06-22,2020-07-13,2020-07-02,x,55553693,,
US10,5076854,2020-06-22,2020-07-13,2020-06-30,x,43088822,,
US10,7345624,2020-06-22,2020-07-13,2020-07-03,x,30002348,,
US10,6306573,2020-06-22,2020-07-13,2020-07-14,x,30003467,,
US10,5849927,2020-06-22,2020-07-13,2020-07-07,x,38334498,,
JP11,6999486,2020-06-22,2020-07-13,2020-07-17,x,48114031,,
CN10,5701660,2020-06-16,2020-07-07,2020-07-14,x,43088822,2020-06-24,2020-07-03
JP11,7311161,2020-06-22,2020-07-13,2020-07-08,x,41420829,,
DE10,8662671,2020-06-22,2020-07-13,2020-07-08,x,38334498,,
CN10,8440829,2020-06-22,2020-07-13,2020-06-30,x,30002348,,
JP11,8814783,2020-06-22,2020-07-13,2020-07-10,x,70920548,,
JP11,7094209,2020-06-22,2020-07-13,2020-07-07,x,34702906,,
JP11,8020178,2020-06-22,2020-07-13,2020-07-02,x,30003467,,
JP11,9602648,2020-06-22,2020-07-13,2020-06-29,x,43088822,,
BR10,5240171,2020-06-09,2020-06-30,2020-06-26,x,73419740,,
CN10,9309795,2020-06-29,2020-07-20,2020-07-24,x,30003467,,
CN10,5136211,2020-06-23,2020-07-14,2020-06-29,x,34702906,,
DE10,6526951,2020-06-29,2020-07-20,2020-07-20,x,74997556,,
DE10,5662846,2020-06-29,2020-07-20,2020-07-22,x,32519746,,
DE10,4973285,2020-06-29,2020-07-20,2020-07-07,x,43088822,,
CN10,8418084,2020-06-29,2020-07-20,2020-07-10,x,78411205,,
DE10,8935915,2020-06-29,2020-07-20,2020-07-24,x,48114031,,
DE10,7498025,2020-06-29,2020-07-20,2020-07-22,x,30003467,,
DE10,7729767,2020-06-29,2020-07-20,2020-07-10,x,50759436,,
DE10,5913479,2020-06-29,2020-07-20,2020-07-02,x,53847241,,
CN10,9315537,2020-06-29,2020-07-20,2020-07-09,x,30002348,,
DE10,9356739,2020-06-29,2020-07-20,2020-07-13,x,30002348,,
BR10,6180813,2020-06-29,2020-07-20,2020-07-14,x,43088822,,
US10,6230175,2020-06-29,2020-07-20,2020-07-21,x,30003467,,
US10,7276935,2020-06-29,2020-07-20,2020-07-16,x,38334498,,
JP11,9428157,2020-06-29,2020-07-20,2020-07-10,x,32519746,,
JP11,6501604,2020-06-29,2020-07-20,2020-07-16,x,41420829,,
JP11,8531156,2020-06-29,2020-07-20,2020-07-23,x,30002348,,
JP11,4983875,2020-06-29,2020-07-20,2020-07-02,x,50759436,,
JP11,6532588,2020-06-29,2020-07-20,2020-07-07,x,30003467,,
JP11,8383386,2020-06-29,2020-07-20,2020-07-20,x,48114031,2020-07-08,2020-07-10
JP11,6451868,2020-06-29,2020-07-20,2020-07-14,x,47017350,,
US10,7848329,2020-06-29,2020-07-20,2020-07-28,x,43088822,,
JP11,7562486,2020-06-29,2020-07-20,2020-07-08,x,43088822,,
US10,9367864,2020-06-29,2020-07-20,2020-07-15,x,30002348,,
US10,7875605,2020-06-29,2020-07-20,2020-07-02,x,32519746,,
BR10,8936397,2020-06-29,2020-07-20,2020-06-30,x,30002348,,
BR10,9020522,2020-06-29,2020-07-20,2020-07-15,x,55553693,,
BR10,8412872,2020-06-29,2020-07-20,2020-07-09,x,30003467,,
BR10,5696959,2020-06-29,2020-07-20,2020-07-13,x,35101221,,
US10,8707166,2020-06-29,2020-07-20,2020-07-08,x,74997556,,
BR10,9215686,2020-06-29,2020-07-20,2020-07-08,x,74997556,,
BR10,5864551,2020-07-08,2020-07-29,2020-07-27,x,30002348,,
BR10,8315927,2020-07-08,2020-07-29,2020-07-16,x,30003467,,
JP11,6873681,2020-07-08,2020-07-29,2020-07-14,x,43088822,,
CN10,9474193,2020-07-08,2020-07-29,2020-07-24,x,38334498,,
JP11,7794752,2020-07-08,2020-07-29,2020-07-28,x,32519746,,
BR10,8655335,2020-07-08,2020-07-29,2020-07-20,x,74997556,,
JP11,9560949,2020-07-08,2020-07-29,2020-07-24,x,50759436,,
JP11,7521948,2020-07-08,2020-07-29,2020-07-27,x,30002348,,
DE10,8370696,2020-07-08,2020-07-29,2020-07-09,x,32952574,,
DE10,6343397,2020-07-08,2020-07-29,2020-07-28,x,47017350,,
DE10,8216075,2020-07-08,2020-07-29,2020-07-28,x,50759436,,
BR10,6839759,2020-07-08,2020-07-29,2020-07-17,x,53847241,,
DE10,6603205,2020-07-08,2020-07-29,2020-07-17,x,43088822,,
DE10,7064075,2020-07-08,2020-07-29,2020-07-10,x,34702906,,
DE10,8632965,2020-07-08,2020-07-29,2020-07-15,x,32519746,,
JP11,7881312,2020-07-08,2020-07-29,2020-07-21,x,34702906,,
CN10,6028183,2020-07-08,2020-07-29,2020-08-05,x,55553693,,
CN10,5992362,2020-06-30,2020-07-21,2020-07-14,x,30002348,,
DE10,8700723,2020-07-08,2020-07-29,2020-07-23,x,30003467,,
JP11,7028291,2020-07-08,2020-07-29,2020-07-21,x,30003467,2020-07-13,2020-07-14
BR10,6609864,2020-07-08,2020-07-29,2020-07-30,x,48114031,,
US10,8203757,2020-07-08,2020-07-29,2020-07-22,x,32519746,,
US10,8868926,2020-07-08,2020-07-29,2020-07-16,x,30002348,,
US10,6104592,2020-07-08,2020-07-29,2020-08-03,x,48114031,2020-07-17,2020-07-23
US10,7935985,2020-07-08,2020-07-29,2020-07-28,x,34702906,,
US10,7039608,2020-07-08,2020-07-29,2020-07-14,x,50759436,,
US10,8360462,2020-07-08,2020-07-29,2020-07-16,x,35101221,,
IN10,8056547,2020-06-29,2020-07-20,2020-07-20,x,30003467,,
US10,5248710,2020-07-08,2020-07-29,2020-07-14,x,30003467,,
IN10,6246115,2020-07-08,2020-07-29,2020-07-23,x,53847241,,
IN10,9293428,2020-07-08,2020-07-29,2020-07-24,x,78411205,,
IN10,6908080,2020-07-08,2020-07-29,2020-07-29,x,32519746,2020-07-17,2020-07-20
IN10,7029302,2020-07-08,2020-07-29,2020-07-17,x,30002348,,
IN10,7414915,2020-07-08,2020-07-29,2020-07-23,x,35101221,,
DE10,9250844,2020-07-15,2020-08-05,2020-08-10,x,50759436,,
DE10,7653489,2020-07-15,2020-08-05,2020-08-13,x,43088822,,
CN10,9602311,2020-07-15,2020-08-05,2020-08-07,x,30003467,,
CN10,5439425,2020-07-15,2020-08-05,2020-08-03,x,30002348,,
US10,7331761,2020-07-15,2020-08-05,2020-07-30,x,70920548,,
US10,6643930,2020-07-15,2020-08-05,2020-07-29,x,30003467,,
US10,8946121,2020-07-15,2020-08-05,2020-07-22,x,30002348,,
US10,8378529,2020-07-15,2020-08-05,2020-07-21,x,38334498,,
JP11,8467863,2020-07-15,2020-08-05,2020-07-27,x,30003467,,
JP11,6456092,2020-07-15,2020-08-05,2020-08-04,x,55553693,,
JP11,6878973,2020-07-15,2020-08-05,2020-08-06,x,73419740,,
CN10,6824633,2020-07-15,2020-08-05,2020-07-23,x,50759436,,
CN10,5530866,2020-07-15,2020-08-05,2020-07-31,x,41420829,,
JP11,9288748,2020-07-15,2020-08-05,2020-07-31,x,53847241,,
JP11,7168171,2020-07-15,2020-08-05,2020-07-17,x,30002348,,
JP11,5086647,2020-07-15,2020-08-05,2020-08-03,x,50759436,2020-07-22,2020-07-27
US10,7844732,2020-07-15,2020-08-05,2020-08-03,x,47017350,,
IN10,7068746,2020-07-15,2020-08-05,2020-07-23,x,30003467,,
IN10,8689163,2020-07-06,2020-07-27,2020-07-20,x,30002348,2020-07-06,2020-07-10
IN10,9168992,2020-07-15,2020-08-05,2020-08-04,x,35101221,2020-07-24,2020-08-03
US10,5661621,2020-07-15,2020-08-05,2020-07-23,x,55553693,,
IN10,7505301,2020-06-26,2020-07-17,2020-07-03,x,50759436,,
BR10,9200729,2020-07-06,2020-07-27,2020-07-24,x,53847241,,
BR10,6025748,2020-07-15,2020-08-05,2020-07-27,x,43088822,,
BR10,6478803,2020-07-15,2020-08-05,2020-07-22,x,73419740,,
BR10,6764600,2020-07-15,2020-08-05,2020-07-21,x,32519746,,
BR10,8435814,2020-07-15,2020-08-05,2020-07-27,x,74997556,,
BR10,8187501,2020-07-15,2020-08-05,2020-07-29,x,50759436,,
BR10,7255158,2020-07-15,2020-08-05,2020-08-18,x,30003467,,
CN10,5370722,2020-07-21,2020-08-11,2020-08-04,x,70920548,,
CN10,7445576,2020-07-21,2020-08-11,2020-07-30,x,55553693,,
CN10,8338634,2020-07-21,2020-08-11,2020-08-10,x,78411205,,
BR10,9013583,2020-07-21,2020-08-11,2020-08-11,x,30002348,,
BR10,8311687,2020-07-21,2020-08-11,2020-08-03,x,32519746,,
CN10,9210281,2020-07-21,2020-08-11,2020-08-12,x,30002348,,
CN10,8396518,2020-07-21,2020-08-11,2020-08-07,x,30003467,,
BR10,7499823,2020-07-21,2020-08-11,2020-08-07,x,41420829,,
DE10,5183894,2020-07-21,2020-08-11,2020-08-03,x,30002348,,
DE10,6816368,2020-07-21,2020-08-11,2020-08-05,x,30003467,,
DE10,9202672,2020-07-21,2020-08-11,2020-08-10,x,49330617,,
DE10,9475324,2020-07-21,2020-08-11,2020-08-06,x,32519746,,
CN10,8190817,2020-07-21,2020-08-11,2020-08-07,x,43088822,,
CN10,5314489,2020-07-21,2020-08-11,2020-08-11,x,41420829,,
CN10,9527504,2020-07-21,2020-08-11,2020-08-13,x,74997556,2020-07-22,2020-08-03
CN10,8516444,2020-07-21,2020-08-11,2020-07-29,x,35101221,,
CN10,8656256,2020-07-21,2020-08-11,2020-08-13,x,32952574,,
CN10,7042358,2020-07-21,2020-08-11,2020-08-06,x,34702906,2020-07-23,2020-07-27
BR10,5249910,2020-07-21,2020-08-11,2020-07-27,x,30003467,,
JP11,7518942,2020-07-21,2020-08-11,2020-08-18,x,30003467,,
JP11,8353640,2020-07-21,2020-08-11,2020-08-12,x,30002348,,
US10,8209443,2020-07-21,2020-08-11,2020-08-13,x,47017350,2020-07-28,2020-08-03
US10,6771659,2020-07-21,2020-08-11,2020-08-19,x,74997556,,
US10,7182396,2020-07-21,2020-08-11,2020-08-04,x,30003467,,
US10,7152787,2020-07-21,2020-08-11,2020-07-27,x,30002348,,
IN10,5157417,2020-07-03,2020-07-24,2020-07-20,x,30003467,,
US10,5813302,2020-07-21,2020-08-11,2020-08-05,x,50759436,,
US10,4937637,2020-07-21,2020-08-11,2020-08-12,x,35101221,,
JP11,9705509,2020-07-21,2020-08-11,2020-08-07,x,74997556,,
US10,9381346,2020-07-21,2020-08-11,2020-07-29,x,34702906,,
IN10,5797289,2020-07-21,2020-08-11,2020-08-17,x,53847241,2020-07-31,2020-08-10
IN10,5498913,2020-07-21,2020-08-11,2020-07-23,x,34702906,,
IN10,7158725,2020-07-21,2020-08-11,2020-08-07,x,30002348,,
DE10,8453503,2020-07-27,2020-08-17,2020-08-04,x,30003467,,
DE10,9375332,2020-07-27,2020-08-17,2020-08-07,x,78411205,,
DE10,9174939,2020-07-27,2020-08-17,2020-08-05,x,35101221,,
DE10,8782999,2020-07-27,2020-08-17,2020-08-13,x,50759436,,
DE10,6818933,2020-07-27,2020-08-17,2020-07-29,x,48114031,,
DE10,8071906,2020-07-27,2020-08-17,2020-08-04,x,43088822,,
DE10,5189523,2020-07-27,2020-08-17,2020-07-30,x,32952574,,
DE10,8508078,2020-07-27,2020-08-17,2020-08-03,x,30002348,,
CN10,7682532,2020-07-27,2020-08-17,2020-08-12,x,74997556,,
CN10,8200186,2020-07-27,2020-08-17,2020-08-14,x,30002348,,
BR10,5668964,2020-07-27,2020-08-17,2020-08-11,x,73419740,,
BR10,9325226,2020-07-27,2020-08-17,2020-08-12,x,78411205,,
BR10,6832778,2020-07-27,2020-08-17,2020-08-18,x,30003467,,
US10,5688589,2020-07-27,2020-08-17,2020-08-21,x,30002348,,
IN10,7719298,2020-07-27,2020-08-17,2020-08-17,x,30002348,2020-07-31,2020-08-10
CN10,7219047,2020-07-27,2020-08-17,2020-08-17,x,30003467,,
CN10,9548359,2020-07-27,2020-08-17,2020-08-11,x,32519746,2020-08-03,2020-08-06
CN10,6259760,2020-07-27,2020-08-17,2020-08-13,x,49330617,,
CN10,8330829,2020-07-27,2020-08-17,2020-08-24,x,32952574,,
DE10,5833375,2020-07-27,2020-08-17,2020-07-30,x,74997556,,
JP11,6318030,2020-07-27,2020-08-17,2020-08-04,x,55553693,,
JP11,8602289,2020-07-27,2020-08-17,2020-08-10,x,48114031,2020-08-04,2020-08-05
JP11,8360132,2020-07-17,2020-08-07,2020-07-21,x,70920548,,
US10,6079245,2020-07-27,2020-08-17,2020-08-05,x,70920548,,
US10,8513941,2020-07-27,2020-08-17,2020-08-13,x,34702906,,
US10,6283672,2020-07-27,2020-08-17,2020-08-04,x,35101221,,
US10,6760661,2020-07-27,2020-08-17,2020-08-13,x,30003467,,
US10,9510317,2020-07-27,2020-08-17,2020-08-17,x,53847241,,
US10,8195148,2020-07-27,2020-08-17,2020-08-11,x,32519746,,
US10,7961267,2020-07-27,2020-08-17,2020-08-03,x,78411205,,
JP11,5347087,2020-07-13,2020-08-03,2020-07-14,x,30003467,,
DE10,7123379,2020-08-03,2020-08-24,2020-08-25,x,30003467,,
DE10,5686523,2020-08-03,2020-08-24,2020-08-19,x,32519746,,
DE10,7297698,2020-08-03,2020-08-24,2020-08-18,x,53847241,,
DE10,8876106,2020-08-03,2020-08-24,2020-08-10,x,73419740,,
DE10,9159012,2020-08-03,2020-08-24,2020-08-20,x,50759436,,
CN10,6799971,2020-08-03,2020-08-24,2020-08-21,x,32519746,2020-08-12,2020-08-19
DE10,8492810,2020-08-03,2020-08-24,2020-08-21,x,35101221,,
DE10,7472912,2020-08-03,2020-08-24,2020-08-18,x,48114031,,
DE10,5744364,2020-08-03,2020-08-24,2020-08-28,x,38334498,,
DE10,7131317,2020-08-03,2020-08-24,2020-08-17,x,30002348,,
DE10,8492678,2020-08-03,2020-08-24,2020-08-19,x,34702906,,
CN10,8211907,2020-08-03,2020-08-24,2020-09-10,x,30002348,,
CN10,5207428,2020-08-03,2020-08-24,2020-08-18,x,34702906,,
CN10,8413997,2020-08-03,2020-08-24,2020-08-10,x,30003467,,
CN10,6474872,2020-08-03,2020-08-24,2020-08-13,x,43088822,,
CN10,6376031,2020-08-03,2020-08-24,2020-09-02,x,53847241,,
CN10,7589646,2020-08-03,2020-08-24,2020-08-11,x,70920548,,
CN10,4950920,2020-08-03,2020-08-24,2020-08-24,x,41420829,,
JP11,5047902,2020-08-03,2020-08-24,2020-08-17,x,32519746,,
JP11,5664490,2020-08-03,2020-08-24,2020-08-21,x,73419740,2020-08-10,2020-08-17
JP11,6185606,2020-08-03,2020-08-24,2020-08-17,x,30003467,,
IN10,9008274,2020-07-28,2020-08-18,2020-07-29,x,73419740,,
US10,9273290,2020-08-03,2020-08-24,2020-08-18,x,41420829,2020-08-13,2020-08-17
BR10,6710160,2020-08-03,2020-08-24,2020-08-05,x,48114031,,
US10,5289413,2020-08-03,2020-08-24,2020-08-13,x,32952574,,
US10,5408529,2020-08-03,2020-08-24,2020-08-17,x,30002348,,
US10,5853635,2020-08-03,2020-08-24,2020-08-27,x,30003467,,
US10,9584195,2020-08-03,2020-08-24,2020-08-11,x,35101221,,
US10,6822915,2020-08-03,2020-08-24,2020-08-14,x,50759436,,
BR10,5382246,2020-08-03,2020-08-24,2020-08-05,x,47017350,,
US10,6794018,2020-08-03,2020-08-24,2020-08-11,x,32519746,,
US10,5915381,2020-08-03,2020-08-24,2020-08-07,x,78411205,,
IN10,7389306,2020-08-03,2020-08-24,2020-08-31,x,30003467,,
IN10,6976314,2020-08-03,2020-08-24,2020-08-11,x,35101221,,
IN10,5495107,2020-08-03,2020-08-24,2020-08-17,x,43088822,,
IN10,5431312,2020-08-03,2020-08-24,2020-08-14,x,32519746,,
BR10,7171515,2020-08-03,2020-08-24,2020-08-17,x,43088822,,
US10,5643455,2020-08-03,2020-08-24,2020-08-24,x,34702906,2020-08-11,2020-08-19
BR10,6395540,2020-08-03,2020-08-24,2020-08-17,x,78411205,,
CN10,9450123,2020-08-10,2020-08-31,2020-08-14,x,50759436,,
US10,7765169,2020-08-10,2020-08-31,2020-08-28,x,53847241,,
US10,6084950,2020-08-10,2020-08-31,2020-08-25,x,38334498,,
US10,6579963,2020-08-10,2020-08-31,2020-08-19,x,70920548,,
US10,8864099,2020-08-10,2020-08-31,2020-09-03,x,50759436,,
US10,5284457,2020-08-10,2020-08-31,2020-08-24,x,30003467,,
JP11,7909292,2020-08-10,2020-08-31,2020-08-26,x,50759436,2020-08-17,2020-08-24
CN10,6905224,2020-08-10,2020-08-31,2020-08-24,x,41420829,,
JP11,9327245,2020-08-10,2020-08-31,2020-08-20,x,30002348,,
JP11,7118596,2020-08-10,2020-08-31,2020-08-21,x,30003467,,
CN10,8858023,2020-08-10,2020-08-31,2020-08-20,x,74997556,,
CN10,7132780,2020-08-10,2020-08-31,2020-08-21,x,55553693,,
CN10,9516380,2020-08-10,2020-08-31,2020-08-19,x,30002348,,
CN10,7719892,2020-08-10,2020-08-31,2020-08-21,x,34702906,2020-08-12,2020-08-17
IN10,7454677,2020-08-03,2020-08-24,2020-08-10,x,34702906,,
BR10,7368524,2020-08-10,2020-08-31,2020-09-02,x,30003467,,
IN10,9231846,2020-08-10,2020-08-31,2020-08-14,x,30003467,,
IN10,9186515,2020-08-10,2020-08-31,2020-08-31,x,30002348,2020-08-17,2020-08-27
IN10,7819958,2020-08-05,2020-08-26,2020-08-13,x,35101221,,
BR10,9725391,2020-08-10,2020-08-31,2020-09-11,x,70920548,,
DE10,9520289,2020-08-10,2020-08-31,2020-08-27,x,30002348,,
CN10,7920185,2020-08-10,2020-08-31,2020-08-25,x,53847241,,
DE10,8909069,2020-08-10,2020-08-31,2020-08-18,x,53847241,,
DE10,8089786,2020-08-10,2020-08-31,2020-08-18,x,30003467,,
DE10,6778343,2020-08-10,2020-08-31,2020-08-17,x,32519746,,
DE10,7690772,2020-08-10,2020-08-31,2020-08-25,x,43088822,,
IN10,8010474,2020-08-17,2020-09-07,2020-09-04,x,32952574,2020-08-25,2020-08-31
IN10,9293447,2020-08-17,2020-09-07,2020-09-16,x,53847241,,
IN10,9199968,2020-08-06,2020-08-27,2020-08-17,x,30002348,,
IN10,5618373,2020-07-31,2020-08-21,2020-08-24,x,30003467,2020-08-10,2020-08-14
BR10,6574537,2020-08-17,2020-09-07,2020-09-03,x,43088822,,
BR10,8649086,2020-08-17,2020-09-07,2020-09-04,x,30003467,,
JP11,6592475,2020-08-17,2020-09-07,2020-08-20,x,41420829,,
JP11,5843303,2020-08-17,2020-09-07,2020-08-25,x,30002348,,
JP11,9096000,2020-08-17,2020-09-07,2020-08-19,x,32519746,,
BR10,5880566,2020-08-17,2020-09-07,2020-09-07,x,32519746,,
US10,8701808,2020-08-17,2020-09-07,2020-08-24,x,47017350,,
DE10,5766073,2020-08-17,2020-09-07,2020-09-10,x,30002348,,
US10,5728876,2020-08-17,2020-09-07,2020-08-24,x,48114031,,
US10,7237066,2020-08-17,2020-09-07,2020-08-25,x,78411205,,
DE10,6508934,2020-08-17,2020-09-07,2020-08-31,x,34702906,,
US10,7125395,2020-08-17,2020-09-07,2020-09-01,x,53847241,,
CN10,6570311,2020-08-17,2020-09-07,2020-09-01,x,34702906,,
CN10,6468798,2020-08-17,2020-09-07,2020-09-07,x,30002348,2020-08-24,2020-08-31
CN10,4988186,2020-08-17,2020-09-07,2020-08-21,x,43088822,,
US10,5941173,2020-08-26,2020-09-16,2020-09-21,x,30002348,,
IN10,8345944,2020-08-26,2020-09-16,2020-09-10,x,30003467,,
US10,4934272,2020-08-26,2020-09-16,2020-09-22,x,30003467,,
US10,5631329,2020-08-26,2020-09-16,2020-09-10,x,50759436,,
DE10,5415045,2020-08-26,2020-09-16,2020-09-09,x,53847241,,
DE10,9459165,2020-08-19,2020-09-09,2020-08-26,x,78411205,,
DE10,6621282,2020-08-26,2020-09-16,2020-09-07,x,48114031,,
IN10,7573551,2020-08-26,2020-09-16,2020-08-27,x,41420829,,
US10,5214826,2020-08-26,2020-09-16,2020-09-22,x,74997556,,
US10,7217075,2020-08-14,2020-09-04,2020-08-20,x,53847241,,
US10,9363936,2020-08-26,2020-09-16,2020-09-16,x,35101221,,
DE10,5397126,2020-08-26,2020-09-16,2020-09-03,x,50759436,,
IN10,5239622,2020-08-26,2020-09-16,2020-09-04,x,43088822,,
BR10,8662347,2020-08-26,2020-09-16,2020-09-01,x,30003467,,
CN10,8316156,2020-08-10,2020-08-31,2020-08-24,x,55553693,,
CN10,8261965,2020-08-26,2020-09-16,2020-09-01,x,53847241,,
CN10,6276562,2020-08-26,2020-09-16,2020-09-14,x,74997556,2020-08-31,2020-09-07
JP11,5064678,2020-08-26,2020-09-16,2020-09-07,x,43088822,2020-08-31,2020-09-01
JP11,8368640,2020-08-26,2020-09-16,2020-09-03,x,50759436,,
JP11,6392980,2020-08-26,2020-09-16,2020-09-02,x,48114031,,
JP11,5022019,2020-08-26,2020-09-16,2020-08-28,x,35101221,,
CN10,5549623,2020-08-26,2020-09-16,2020-09-01,x,35101221,,
JP11,5767194,2020-08-13,2020-09-03,2020-08-27,x,38334498,,
JP11,6230091,2020-08-26,2020-09-16,2020-09-02,x,30002348,,
CN10,5779551,2020-08-26,2020-09-16,2020-09-09,x,30002348,,
JP11,6451353,2020-08-26,2020-09-16,2020-09-07,x,30003467,,
US10,8090516,2020-08-26,2020-09-16,2020-08-31,x,32519746,,
IN10,5307138,2020-08-26,2020-09-16,2020-09-22,x,34702906,2020-09-07,2020-09-16
US10,7285540,2020-08-26,2020-09-16,2020-09-14,x,43088822,,
IN10,7086972,2020-09-01,2020-09-22,2020-09-28,x,47017350,,
BR10,7715449,2020-09-01,2020-09-22,2020-09-18,x,32519746,,
IN10,6310794,2020-09-01,2020-09-22,2020-09-16,x,30002348,,
BR10,6425697,2020-09-01,2020-09-22,2020-09-17,x,78411205,,
BR10,4939837,2020-09-01,2020-09-22,2020-09-14,x,30002348,,
BR10,9111308,2020-08-24,2020-09-14,2020-09-23,x,48114031,,
US10,7904879,2020-09-01,2020-09-22,2020-09-03,x,32952574,,
IN10,7182060,2020-09-01,2020-09-22,2020-09-30,x,32519746,,
US10,6805603,2020-09-01,2020-09-22,2020-09-04,x,50759436,,
DE10,9201141,2020-09-01,2020-09-22,2020-09-10,x,34702906,,
DE10,7949703,2020-09-01,2020-09-22,2020-09-18,x,74997556,,
DE10,6378353,2020-09-01,2020-09-22,2020-09-08,x,43088822,,
DE10,6661626,2020-09-01,2020-09-22,2020-09-09,x,41420829,,
CN10,7003088,2020-09-01,2020-09-22,2020-09-14,x,30002348,,
CN10,9439397,2020-09-01,2020-09-22,2020-09-29,x,30003467,,
US10,7983278,2020-09-01,2020-09-22,2020-09-04,x,41420829,,
CN10,7810691,2020-08-27,2020-09-17,2020-09-03,x,41420829,,
CN10,6004393,2020-09-01,2020-09-22,2020-09-14,x,48114031,,
CN10,6730086,2020-09-01,2020-09-22,2020-09-21,x,53847241,2020-09-04,2020-09-14
JP11,7641373,2020-09-01,2020-09-22,2020-09-21,x,35101221,,
JP11,5212311,2020-08-18,2020-09-08,2020-09-03,x,30002348,,
US10,7550329,2020-09-01,2020-09-22,2020-09-09,x,55553693,,
IN10,5433707,2020-09-01,2020-09-22,2020-09-15,x,30003467,2020-09-07,2020-09-08
US10,6874745,2020-09-01,2020-09-22,2020-09-25,x,30003467,,
US10,8287602,2020-09-01,2020-09-22,2020-09-07,x,48114031,,
BR10,7001185,2020-09-01,2020-09-22,2020-09-23,x,30003467,,
US10,9431836,2020-09-01,2020-09-22,2020-09-07,x,32519746,,
US10,5195630,2020-09-01,2020-09-22,2020-09-08,x,73419740,,
JP11,7921447,2020-08-28,2020-09-18,2020-09-11,x,30002348,,
JP11,6727073,2020-09-07,2020-09-28,2020-09-23,x,50759436,,
JP11,6832621,2020-09-07,2020-09-28,2020-09-22,x,78411205,,
IN10,9326903,2020-09-07,2020-09-28,2020-10-05,x,78411205,2020-09-15,2020-09-24
IN10,9458327,2020-09-07,2020-09-28,2020-09-22,x,30002348,,
IN10,6926013,2020-09-07,2020-09-28,2020-10-06,x,34702906,,
IN10,6671523,2020-08-24,2020-09-14,2020-09-07,x,43088822,,
IN10,8030978,2020-08-27,2020-09-17,2020-09-07,x,73419740,,
IN10,5051266,2020-09-07,2020-09-28,2020-09-14,x,30003467,,
JP11,7215191,2020-09-07,2020-09-28,2020-09-16,x,32519746,2020-09-14,2020-09-15
JP11,9186184,2020-09-07,2020-09-28,2020-09-16,x,30003467,,
BR10,5795237,2020-09-07,2020-09-28,2020-09-15,x,35101221,,
BR10,5666333,2020-09-07,2020-09-28,2020-09-23,x,30003467,,
BR10,9363917,2020-09-07,2020-09-28,2020-09-22,x,55553693,,
BR10,6462517,2020-09-07,2020-09-28,2020-09-09,x,30002348,,
BR10,7802223,2020-09-07,2020-09-28,2020-10-02,x,32952574,,
